experiment,best_val_acc,run_id,experiment_type
No Augmentation,0.9611111111111111,1,basic
Geometric Augmentation,0.9740740740740741,1,basic
5% Synthetic Data,0.9611111111111111,1,basic
10% Synthetic Data,0.9666666666666667,1,basic
20% Synthetic Data,0.9611111111111111,1,basic
30% Synthetic Data,0.9351851851851852,1,basic
40% Synthetic Data,0.9629629629629629,1,basic
50% Synthetic Data,0.9611111111111111,1,basic
5% Synthetic Data + Geo Aug,0.9592592592592593,1,geo_synth
10% Synthetic Data + Geo Aug,0.9666666666666667,1,geo_synth
20% Synthetic Data + Geo Aug,0.9685185185185186,1,geo_synth
30% Synthetic Data + Geo Aug,0.9722222222222222,1,geo_synth
40% Synthetic Data + Geo Aug,0.9685185185185186,1,geo_synth
50% Synthetic Data + Geo Aug,0.9666666666666667,1,geo_synth
No Augmentation,0.9592592592592593,2,basic
Geometric Augmentation,0.9666666666666667,2,basic
5% Synthetic Data,0.9648148148148148,2,basic
10% Synthetic Data,0.9648148148148148,2,basic
20% Synthetic Data,0.9537037037037037,2,basic
30% Synthetic Data,0.9444444444444444,2,basic
40% Synthetic Data,0.9537037037037037,2,basic
50% Synthetic Data,0.9481481481481482,2,basic
5% Synthetic Data + Geo Aug,0.975925925925926,2,geo_synth
10% Synthetic Data + Geo Aug,0.9666666666666667,2,geo_synth
20% Synthetic Data + Geo Aug,0.9666666666666667,2,geo_synth
30% Synthetic Data + Geo Aug,0.9722222222222222,2,geo_synth
40% Synthetic Data + Geo Aug,0.9648148148148148,2,geo_synth
50% Synthetic Data + Geo Aug,0.9574074074074074,2,geo_synth
No Augmentation,0.9648148148148148,3,basic
Geometric Augmentation,0.9703703703703703,3,basic
5% Synthetic Data,0.9629629629629629,3,basic
10% Synthetic Data,0.9629629629629629,3,basic
20% Synthetic Data,0.9648148148148148,3,basic
30% Synthetic Data,0.9388888888888889,3,basic
40% Synthetic Data,0.9611111111111111,3,basic
50% Synthetic Data,0.9537037037037037,3,basic
5% Synthetic Data + Geo Aug,0.9666666666666667,3,geo_synth
10% Synthetic Data + Geo Aug,0.9685185185185186,3,geo_synth
20% Synthetic Data + Geo Aug,0.9611111111111111,3,geo_synth
30% Synthetic Data + Geo Aug,0.9722222222222222,3,geo_synth
40% Synthetic Data + Geo Aug,0.9666666666666667,3,geo_synth
50% Synthetic Data + Geo Aug,0.9629629629629629,3,geo_synth
No Augmentation,0.9666666666666667,4,basic
Geometric Augmentation,0.9703703703703703,4,basic
5% Synthetic Data,0.9592592592592593,4,basic
10% Synthetic Data,0.9611111111111111,4,basic
20% Synthetic Data,0.9666666666666667,4,basic
30% Synthetic Data,0.9537037037037037,4,basic
40% Synthetic Data,0.9518518518518518,4,basic
50% Synthetic Data,0.9574074074074074,4,basic
5% Synthetic Data + Geo Aug,0.9648148148148148,4,geo_synth
10% Synthetic Data + Geo Aug,0.9648148148148148,4,geo_synth
20% Synthetic Data + Geo Aug,0.9740740740740741,4,geo_synth
30% Synthetic Data + Geo Aug,0.9666666666666667,4,geo_synth
40% Synthetic Data + Geo Aug,0.9703703703703703,4,geo_synth
50% Synthetic Data + Geo Aug,0.9703703703703703,4,geo_synth
No Augmentation,0.9722222222222222,5,basic
Geometric Augmentation,0.975925925925926,5,basic
5% Synthetic Data,0.9611111111111111,5,basic
