experiment,best_val_acc,run_id,experiment_type
10% Synthetic Data,0.9537037037037037,5,basic
20% Synthetic Data,0.9685185185185186,5,basic
30% Synthetic Data,0.9518518518518518,5,basic
40% Synthetic Data,0.9592592592592593,5,basic
50% Synthetic Data,0.9537037037037037,5,basic
5% Synthetic Data + Geo Aug,0.9666666666666667,5,geo_synth
10% Synthetic Data + Geo Aug,0.9592592592592593,5,geo_synth
20% Synthetic Data + Geo Aug,0.9666666666666667,5,geo_synth
30% Synthetic Data + Geo Aug,0.9666666666666667,5,geo_synth
40% Synthetic Data + Geo Aug,0.9592592592592593,5,geo_synth
50% Synthetic Data + Geo Aug,0.9740740740740741,5,geo_synth
No Augmentation,0.9685185185185186,6,basic
Geometric Augmentation,0.9722222222222222,6,basic
5% Synthetic Data,0.9555555555555556,6,basic
10% Synthetic Data,0.9648148148148148,6,basic
20% Synthetic Data,0.9703703703703703,6,basic
30% Synthetic Data,0.9462962962962963,6,basic
40% Synthetic Data,0.9648148148148148,6,basic
50% Synthetic Data,0.9537037037037037,6,basic
5% Synthetic Data + Geo Aug,0.9703703703703703,6,geo_synth
10% Synthetic Data + Geo Aug,0.9722222222222222,6,geo_synth
20% Synthetic Data + Geo Aug,0.9592592592592593,6,geo_synth
30% Synthetic Data + Geo Aug,0.9648148148148148,6,geo_synth
40% Synthetic Data + Geo Aug,0.9685185185185186,6,geo_synth
50% Synthetic Data + Geo Aug,0.9740740740740741,6,geo_synth
No Augmentation,0.9629629629629629,7,basic
Geometric Augmentation,0.9777777777777777,7,basic
5% Synthetic Data,0.9685185185185186,7,basic
10% Synthetic Data,0.9629629629629629,7,basic
20% Synthetic Data,0.9666666666666667,7,basic
30% Synthetic Data,0.9555555555555556,7,basic
40% Synthetic Data,0.9685185185185186,7,basic
50% Synthetic Data,0.9481481481481482,7,basic
5% Synthetic Data + Geo Aug,0.9666666666666667,7,geo_synth
10% Synthetic Data + Geo Aug,0.9629629629629629,7,geo_synth
20% Synthetic Data + Geo Aug,0.9592592592592593,7,geo_synth
30% Synthetic Data + Geo Aug,0.9629629629629629,7,geo_synth
40% Synthetic Data + Geo Aug,0.9703703703703703,7,geo_synth
50% Synthetic Data + Geo Aug,0.9629629629629629,7,geo_synth
No Augmentation,0.9629629629629629,8,basic
Geometric Augmentation,0.975925925925926,8,basic
5% Synthetic Data,0.9629629629629629,8,basic
10% Synthetic Data,0.9703703703703703,8,basic
20% Synthetic Data,0.9629629629629629,8,basic
30% Synthetic Data,0.95,8,basic
40% Synthetic Data,0.9537037037037037,8,basic
50% Synthetic Data,0.9666666666666667,8,basic
5% Synthetic Data + Geo Aug,0.9648148148148148,8,geo_synth
10% Synthetic Data + Geo Aug,0.9629629629629629,8,geo_synth
20% Synthetic Data + Geo Aug,0.9611111111111111,8,geo_synth
30% Synthetic Data + Geo Aug,0.9685185185185186,8,geo_synth
40% Synthetic Data + Geo Aug,0.9685185185185186,8,geo_synth
50% Synthetic Data + Geo Aug,0.9629629629629629,8,geo_synth
No Augmentation,0.9629629629629629,9,basic
Geometric Augmentation,0.9722222222222222,9,basic
5% Synthetic Data,0.9722222222222222,9,basic
10% Synthetic Data,0.9611111111111111,9,basic
20% Synthetic Data,0.9648148148148148,9,basic
30% Synthetic Data,0.9518518518518518,9,basic
40% Synthetic Data,0.9629629629629629,9,basic
50% Synthetic Data,0.9518518518518518,9,basic
5% Synthetic Data + Geo Aug,0.9703703703703703,9,geo_synth
10% Synthetic Data + Geo Aug,0.9666666666666667,9,geo_synth
20% Synthetic Data + Geo Aug,0.9611111111111111,9,geo_synth
30% Synthetic Data + Geo Aug,0.9685185185185186,9,geo_synth
40% Synthetic Data + Geo Aug,0.9722222222222222,9,geo_synth
50% Synthetic Data + Geo Aug,0.9703703703703703,9,geo_synth
No Augmentation,0.9592592592592593,10,basic
Geometric Augmentation,0.9685185185185186,10,basic
5% Synthetic Data,0.9629629629629629,10,basic
10% Synthetic Data,0.9648148148148148,10,basic
20% Synthetic Data,0.9592592592592593,10,basic
30% Synthetic Data,0.9518518518518518,10,basic
40% Synthetic Data,0.9629629629629629,10,basic
50% Synthetic Data,0.9574074074074074,10,basic
5% Synthetic Data + Geo Aug,0.9685185185185186,10,geo_synth
10% Synthetic Data + Geo Aug,0.9703703703703703,10,geo_synth
20% Synthetic Data + Geo Aug,0.9629629629629629,10,geo_synth
30% Synthetic Data + Geo Aug,0.9722222222222222,10,geo_synth
40% Synthetic Data + Geo Aug,0.9611111111111111,10,geo_synth
50% Synthetic Data + Geo Aug,0.9592592592592593,10,geo_synth
