experiment,best_val_acc,run_id,experiment_type
5% Synthetic Data,0.9855555555555555,6,basic
10% Synthetic Data,0.9818518518518519,6,basic
20% Synthetic Data,0.9818518518518519,6,basic
30% Synthetic Data,0.9777777777777777,6,basic
40% Synthetic Data,0.9803703703703703,6,basic
50% Synthetic Data,0.9781481481481481,6,basic
20% Synthetic Data + Geo Aug,0.9844444444444445,6,geo_synth
30% Synthetic Data + Geo Aug,0.9825925925925926,6,geo_synth
40% Synthetic Data + Geo Aug,0.9829629629629629,6,geo_synth
50% Synthetic Data + Geo Aug,0.9837037037037037,6,geo_synth
No Augmentation,0.9814814814814815,7,basic
Geometric Augmentation,0.9885185185185185,7,basic
5% Synthetic Data,0.9818518518518519,7,basic
10% Synthetic Data,0.9807407407407407,7,basic
20% Synthetic Data,0.9811111111111112,7,basic
30% Synthetic Data,0.9825925925925926,7,basic
40% Synthetic Data,0.9796296296296296,7,basic
50% Synthetic Data,0.9792592592592593,7,basic
20% Synthetic Data + Geo Aug,0.9837037037037037,7,geo_synth
30% Synthetic Data + Geo Aug,0.9837037037037037,7,geo_synth
40% Synthetic Data + Geo Aug,0.9811111111111112,7,geo_synth
50% Synthetic Data + Geo Aug,0.9818518518518519,7,geo_synth
No Augmentation,0.9862962962962963,8,basic
Geometric Augmentation,0.9859259259259259,8,basic
5% Synthetic Data,0.9818518518518519,8,basic
10% Synthetic Data,0.9796296296296296,8,basic
20% Synthetic Data,0.9785185185185186,8,basic
30% Synthetic Data,0.9777777777777777,8,basic
40% Synthetic Data,0.9781481481481481,8,basic
50% Synthetic Data,0.9781481481481481,8,basic
20% Synthetic Data + Geo Aug,0.9825925925925926,8,geo_synth
30% Synthetic Data + Geo Aug,0.9829629629629629,8,geo_synth
40% Synthetic Data + Geo Aug,0.9833333333333333,8,geo_synth
50% Synthetic Data + Geo Aug,0.9837037037037037,8,geo_synth
No Augmentation,0.9822222222222222,9,basic
Geometric Augmentation,0.9885185185185185,9,basic
5% Synthetic Data,0.9829629629629629,9,basic
10% Synthetic Data,0.9792592592592593,9,basic
20% Synthetic Data,0.9792592592592593,9,basic
30% Synthetic Data,0.9807407407407407,9,basic
40% Synthetic Data,0.9825925925925926,9,basic
50% Synthetic Data,0.9777777777777777,9,basic
20% Synthetic Data + Geo Aug,0.9840740740740741,9,geo_synth
30% Synthetic Data + Geo Aug,0.9833333333333333,9,geo_synth
40% Synthetic Data + Geo Aug,0.9855555555555555,9,geo_synth
50% Synthetic Data + Geo Aug,0.9833333333333333,9,geo_synth
No Augmentation,0.9844444444444445,10,basic
Geometric Augmentation,0.9862962962962963,10,basic
5% Synthetic Data,0.9818518518518519,10,basic
10% Synthetic Data,0.9818518518518519,10,basic
20% Synthetic Data,0.9774074074074074,10,basic
30% Synthetic Data,0.975925925925926,10,basic
40% Synthetic Data,0.9814814814814815,10,basic
50% Synthetic Data,0.9774074074074074,10,basic
20% Synthetic Data + Geo Aug,0.9862962962962963,10,geo_synth
30% Synthetic Data + Geo Aug,0.9825925925925926,10,geo_synth
40% Synthetic Data + Geo Aug,0.9833333333333333,10,geo_synth
50% Synthetic Data + Geo Aug,0.9851851851851852,10,geo_synth
