Class,Precision,Recall,F1-Score,Support,experiment,run_id
River,0.9791666666666666,0.9215686274509803,0.9494949494949495,51.0,20% Synthetic Data,1
SeaLake,1.0,1.0,1.0,59.0,20% Synthetic Data,1
AnnualCrop,0.9166666666666666,0.9482758620689655,0.9322033898305084,58.0,30% Synthetic Data,1
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,30% Synthetic Data,1
HerbaceousVegetation,0.8472222222222222,0.953125,0.8970588235294118,64.0,30% Synthetic Data,1
Highway,0.96,0.8888888888888888,0.9230769230769231,54.0,30% Synthetic Data,1
Industrial,0.9433962264150944,1.0,0.970873786407767,50.0,30% Synthetic Data,1
Pasture,0.9722222222222222,0.9210526315789473,0.9459459459459459,38.0,30% Synthetic Data,1
PermanentCrop,0.9318181818181818,0.803921568627451,0.8631578947368421,51.0,30% Synthetic Data,1
Residential,1.0,0.9836065573770492,0.9917355371900827,61.0,30% Synthetic Data,1
River,0.9795918367346939,0.9411764705882353,0.96,51.0,30% Synthetic Data,1
SeaLake,1.0,1.0,1.0,59.0,30% Synthetic Data,1
AnnualCrop,0.9344262295081968,0.9827586206896551,0.957983193277311,58.0,40% Synthetic Data,1
Forest,0.9473684210526315,1.0,0.972972972972973,54.0,40% Synthetic Data,1
HerbaceousVegetation,0.9375,0.9375,0.9375,64.0,40% Synthetic Data,1
Highway,0.9615384615384616,0.9259259259259259,0.9433962264150944,54.0,40% Synthetic Data,1
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,40% Synthetic Data,1
Pasture,1.0,0.9736842105263158,0.9866666666666667,38.0,40% Synthetic Data,1
PermanentCrop,0.9361702127659575,0.8627450980392157,0.8979591836734694,51.0,40% Synthetic Data,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,40% Synthetic Data,1
River,1.0,1.0,1.0,51.0,40% Synthetic Data,1
SeaLake,1.0,1.0,1.0,59.0,40% Synthetic Data,1
AnnualCrop,0.8923076923076924,1.0,0.943089430894309,58.0,50% Synthetic Data,1
Forest,0.9642857142857143,1.0,0.9818181818181818,54.0,50% Synthetic Data,1
HerbaceousVegetation,0.9090909090909091,0.9375,0.9230769230769231,64.0,50% Synthetic Data,1
Highway,0.9423076923076923,0.9074074074074074,0.9245283018867925,54.0,50% Synthetic Data,1
Industrial,0.9433962264150944,1.0,0.970873786407767,50.0,50% Synthetic Data,1
Pasture,1.0,0.9210526315789473,0.958904109589041,38.0,50% Synthetic Data,1
PermanentCrop,0.9347826086956522,0.8431372549019608,0.8865979381443299,51.0,50% Synthetic Data,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,50% Synthetic Data,1
River,1.0,0.9607843137254902,0.98,51.0,50% Synthetic Data,1
SeaLake,1.0,1.0,1.0,59.0,50% Synthetic Data,1
AnnualCrop,0.9655172413793104,0.9655172413793104,0.9655172413793104,58.0,5% Synthetic + Geometric,1
Forest,0.9642857142857143,1.0,0.9818181818181818,54.0,5% Synthetic + Geometric,1
HerbaceousVegetation,0.96875,0.96875,0.96875,64.0,5% Synthetic + Geometric,1
Highway,0.9285714285714286,0.9629629629629629,0.9454545454545454,54.0,5% Synthetic + Geometric,1
Industrial,0.9245283018867925,0.98,0.9514563106796117,50.0,5% Synthetic + Geometric,1
Pasture,1.0,0.9473684210526315,0.972972972972973,38.0,5% Synthetic + Geometric,1
PermanentCrop,0.9591836734693877,0.9215686274509803,0.94,51.0,5% Synthetic + Geometric,1
Residential,1.0,0.9672131147540983,0.9833333333333333,61.0,5% Synthetic + Geometric,1
River,0.9607843137254902,0.9607843137254902,0.9607843137254902,51.0,5% Synthetic + Geometric,1
SeaLake,1.0,0.9830508474576272,0.9914529914529915,59.0,5% Synthetic + Geometric,1
AnnualCrop,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0,10% Synthetic + Geometric,1
Forest,0.9464285714285714,0.9814814814814815,0.9636363636363636,54.0,10% Synthetic + Geometric,1
HerbaceousVegetation,0.9682539682539683,0.953125,0.9606299212598425,64.0,10% Synthetic + Geometric,1
