experiment,best_val_acc,run_id
No Augmentation,0.9703703703703703,10
Geometric Augmentation,0.9740740740740741,10
5% Synthetic Data,0.9629629629629629,10
10% Synthetic Data,0.9648148148148148,10
20% Synthetic Data,0.9574074074074074,10
30% Synthetic Data,0.9444444444444444,10
40% Synthetic Data,0.9592592592592593,10
50% Synthetic Data,0.9555555555555556,10
5% Synthetic + Geometric,0.9703703703703703,10
10% Synthetic + Geometric,0.9648148148148148,10
20% Synthetic + Geometric,0.9648148148148148,10
30% Synthetic + Geometric,0.9518518518518518,10
40% Synthetic + Geometric,0.9666666666666667,10
50% Synthetic + Geometric,0.9685185185185186,10
